k,c,h0,i0,kh (feedback current gain (air gap)),kv (feedback current gain (velocity)),V_kmh,,a_z_max (Maximum vertical acceleration)
43654707.16,15469.54184,0.011939013,20.34091563,6764.225913,38.86018694,448.7083098,,0.35520911
31333132.47,8429.612679,0.009412196,20.23673173,8535.580348,69.08678563,427.0241545,,0.285544376
55129076.71,12039.11459,0.010868033,28.32328602,5867.530141,43.32487961,253.4294624,,0.067666065
38191038.85,7655.205468,0.011072803,25.5506762,5129.410436,67.61743179,427.7205023,,0.245477275
47272736.12,6873.221955,0.009797653,21.63952159,5000.773657,49.44363203,258.3764394,,0.071534205
34822651.99,19912.27232,0.009375555,23.92311802,4453.911284,77.08516841,414.0867586,,0.154828562
53902038.8,9858.378765,0.01061653,22.84784975,8159.612708,78.74246679,486.6953824,,0.389885615
40653593.09,5490.658472,0.009418405,24.54244103,6891.622717,35.62872556,299.8120845,,0.117219849
46260867.89,5397.229288,0.0102672,21.06482435,8131.554117,40.55062352,385.7810558,,0.242802603
30957909.74,7765.177138,0.008347628,22.86171789,7685.677548,58.47149032,261.856071,,0.071935355
58579243.66,5171.557625,0.011542166,20.65371531,6226.940627,54.98066725,278.6240503,,0.081262728
36963542.2,18557.86601,0.008826647,29.33556058,8805.510784,28.21355575,283.2172849,,0.09530098
49431716.41,14825.4051,0.011631263,23.18025552,7032.742109,20.86129395,286.6605617,,0.097101821
32932159.27,6002.525673,0.008828613,24.67145712,5429.73711,77.25216749,495.4435736,,0.296283279
52669391.86,5880.254574,0.010968741,29.00443378,7963.161594,44.06135253,410.8154937,,0.281445087
39982799.39,9043.251602,0.008852523,25.49262853,4176.96673,20.45823109,256.3543963,,0.094548412
43049982.02,9136.425543,0.008631941,26.19694474,7031.622727,73.00519236,474.447681,,0.352792939
32386124.73,14711.16318,0.008679206,22.08422091,4561.89225,49.49191187,223.8868499,,0.054835333
56533235.43,13896.43223,0.008650299,20.30503701,4703.203099,32.51895293,295.1311491,,0.10986959
37543385.86,6560.177516,0.011124357,21.86916076,8132.958384,46.76547421,332.4684725,,0.160130682
47905495.42,12796.62451,0.010042758,21.54173575,7489.305901,48.02397753,486.9733695,,0.458756412
34997353.65,7107.564766,0.010193384,29.47036646,4029.513649,35.42451332,360.1388435,,0.166328329
53266562.86,5904.808699,0.010403908,20.64337641,4382.00606,34.25976426,210.2409064,,0.046774565
42366293.48,6615.097112,0.010907016,26.3215992,4135.740146,75.49112942,465.4808874,,0.170111751
44646434.89,5452.279946,0.00879659,21.90438393,6600.78622,49.57230546,403.2600442,,0.249827155
30049451.71,5076.829123,0.010628559,21.71969446,4286.047893,66.13808351,453.3940719,,0.254908171
59626188.77,16495.48055,0.008798133,26.62777493,5134.039683,59.69824198,226.2819338,,0.05419341
36424082.63,18011.58885,0.010671169,22.34892618,6765.339383,47.63205062,269.9896436,,0.079036368
49254558.75,6435.901754,0.009110892,29.34537977,5136.707749,66.65407277,452.6331628,,0.201636882
34115775.17,17237.63757,0.011396449,22.1825711,4861.221804,62.90105357,469.7082529,,0.332196646
50549885.8,19555.74849,0.008289161,23.46993152,6101.76355,57.97891632,253.3323163,,0.066283384
38974867.55,9366.534385,0.010634527,23.68165379,6237.594293,40.41485532,289.8527355,,0.10035261
44292055.91,6674.344746,0.008380239,20.97696557,6556.002473,32.39983811,246.1722081,,0.062696498
31956044.11,5587.120845,0.00982812,24.32350771,8983.485023,78.07576754,313.3740559,,0.111839863
56105160.17,6973.997309,0.009687428,20.74172653,4689.994986,77.66458764,494.1116436,,0.248335754
38643917.41,10937.65319,0.011105284,27.69359997,4324.039817,32.83174346,310.7604731,,0.145310899
46348746.85,7635.932178,0.00946205,22.55268066,4705.727928,41.33330951,369.7220556,,0.202382294
34380253.21,5095.940856,0.011020832,25.29710228,5493.444626,67.1047154,252.0159518,,0.067727575
54897017.87,15763.38711,0.010926698,27.25597546,7212.771951,74.66534132,225.7096067,,0.050982914
41130329.46,5535.321231,0.009663553,26.5289179,8273.748791,52.34492997,361.3385858,,0.18552138
45322985.02,7568.223484,0.009996971,22.70194692,7923.125767,77.91402955,211.3846972,,0.046172227
31063393.49,19164.08617,0.008156599,27.20304736,7988.22555,63.06131735,450.3302906,,0.374819772
57820098.64,7008.225444,0.008818081,25.9573743,4522.796485,66.14735577,481.3780079,,0.175412873
36686868.98,8205.333041,0.008638548,21.24434377,6627.895954,31.38569046,394.9283835,,0.254551171
50015870.74,15027.80809,0.011388068,25.07822191,8171.997148,67.58106704,375.1401331,,0.189574031
33239908.43,8554.851974,0.011435528,21.64059215,5609.49325,39.90900355,325.5547391,,0.137905362
51860898.12,9811.105989,0.008250078,22.77175031,4427.550007,35.45552622,388.1222026,,0.223566772
40550759.29,11016.22371,0.010747312,24.35209316,5606.819884,33.7386953,400.2176729,,0.281873232
42680839.62,7318.099705,0.011340431,23.17172323,7638.647064,26.41015726,372.6015163,,0.235404341
32091081.86,7249.772111,0.011910809,28.45711401,4076.58799,42.40843057,294.6845334,,0.114824218
57071117.7,9892.99009,0.008606195,24.02695781,6161.240949,49.82088852,310.4330692,,0.116548068
37988237.56,15758.76864,0.010180283,26.91882037,5823.994797,64.89279777,493.2899981,,0.386331883
47669316.7,16583.29835,0.0080637,27.52564926,4705.10475,78.14156548,253.8685748,,0.051048251
35646540.47,8875.070184,0.009778836,22.41798805,4643.824059,63.28794021,483.4369637,,0.300689505
52785686.2,11725.25953,0.009139345,29.90780046,4246.584567,27.1717978,289.1501801,,0.130357224
41626830.81,18483.69947,0.010833563,27.54108351,5490.934912,59.04292221,478.4433523,,0.365440749
45176197.94,18157.72598,0.009977044,26.79779473,4230.861758,62.08973501,244.8188741,,0.05801571
30610697.79,6725.197455,0.010009932,26.19678505,8890.342312,67.68656796,407.1351341,,0.257852355
58951806,12490.81474,0.011092485,25.86136825,7034.531179,68.47609908,262.2981247,,0.068110013
35766563.86,7304.372287,0.010856343,28.00880789,8942.878147,44.01863176,456.552188,,0.410873594
48386871.65,8975.955845,0.010653285,26.92702597,4652.400496,44.31080918,275.7871701,,0.093998619
33663214.25,10275.57594,0.009822385,25.92410504,8747.485076,53.82645943,487.421196,,0.506825486
51480186.49,5318.387193,0.00983866,25.06750662,7375.259843,66.73737096,327.4122985,,0.123616827
39360734.59,14317.0598,0.008278697,20.39754738,8381.50645,41.18200879,282.2159727,,0.086653171
43429976.26,11637.57476,0.008069331,29.06826851,8733.321957,29.25117271,432.2678515,,0.352081591
31537532.83,11815.32619,0.008686339,23.81217226,5484.316536,43.37420643,206.696675,,0.045711982
55432366.67,8272.568258,0.011093769,26.97441039,8928.736278,69.05943681,473.7569766,,0.390918499
38320394.52,12210.40228,0.011720954,24.62184337,8459.283832,33.37657837,263.8323773,,0.083226846
46820099.09,6893.808926,0.010678582,24.96092219,6605.914256,34.22401704,410.4248525,,0.290212293
34634943.18,9547.285749,0.011746816,29.34492906,5785.40537,75.86827014,365.7096009,,0.169029334
54143864.05,10212.84707,0.011358929,21.85541706,6329.032947,36.98435536,257.0249083,,0.068471645
41049356.35,8697.524424,0.009076729,28.10578415,8019.750211,60.46326336,247.6448655,,0.062425852
45844336.96,5963.055271,0.01181451,25.34189406,5201.265476,68.59729735,278.9686293,,0.086571778
30668758.64,11149.19166,0.010029982,24.5920167,5121.708139,53.74526622,386.6602759,,0.22179278
58248046.01,7491.532711,0.008418332,29.38045754,4270.628699,73.02809611,295.0645134,,0.045023199
37197776.7,5351.985723,0.009084617,25.3670537,5675.811881,54.18798469,353.5880128,,0.168932978
49858127.9,14124.42414,0.011848181,29.1652448,7799.169555,75.69960775,261.4830338,,0.068263096
32818037.02,12925.04926,0.009172713,23.08093198,5786.314114,54.96105646,342.817357,,0.151923853
52371134.82,18454.41472,0.009479766,26.75165296,5434.95663,74.42084249,492.6991116,,0.273187911
39763055.46,10093.95331,0.011340094,27.76499423,6707.383977,53.61813905,343.2184829,,0.157941803
43245781.83,9429.773696,0.011702599,20.25603211,7257.487615,29.67485086,434.3387834,,0.338436143
32682134.39,7922.452415,0.010005699,24.41921288,8281.085538,74.94109609,350.1493302,,0.153707081
56438287.45,9504.683389,0.011901124,24.21821247,5645.3748,69.72476741,318.3681897,,0.115610226
37353365.75,11539.89442,0.010164617,21.91283214,4985.354912,49.18577901,362.6181381,,0.181194956
48181806.3,5161.386191,0.01124615,22.20119474,5627.176601,48.39235664,217.7800867,,0.048013742
35156514,8163.826252,0.009139081,24.15426064,5180.594016,52.50478586,393.8573557,,0.227473602
53830509.66,10729.65433,0.008796686,23.28163678,8149.99768,60.17349953,383.9826349,,0.204817321
41991574.11,6966.00874,0.008586616,26.49135854,5353.119552,44.21244872,499.3034203,,0.418940064
44409462.79,8568.442297,0.008753104,22.66194601,5704.88691,26.17309619,349.3963549,,0.181996842
30209775.15,9087.597736,0.010671135,23.47228458,8311.982443,57.64777914,211.9577112,,0.048818562
59833404.98,15664.21257,0.010696476,26.8095725,6375.841784,28.18526584,213.4839203,,0.049446037
36094371.97,9952.698627,0.008028391,24.70139184,5452.638478,73.05187322,406.230811,,0.182339256
48905248.74,17257.43979,0.010361978,25.11940747,5446.250054,28.97587311,466.8617364,,0.521826608
33919961.08,7580.568432,0.010314639,21.59941079,8022.257836,63.53404869,235.0509321,,0.057679295
50807038.07,7861.002497,0.009499877,22.81171783,6704.201153,60.48709732,451.1327945,,0.333531457
39305597.69,13668.98281,0.009885645,21.97074597,4052.480454,62.73754247,341.21542,,0.114029414
43827805.21,12343.16988,0.010803746,23.65116278,5351.001191,58.2843413,409.9341275,,0.248366046
31768347.03,5422.481087,0.0107574,29.6299987,7805.472731,34.21855449,290.769469,,0.114101739
55797988.65,15560.18239,0.010136075,23.46316199,7139.826679,48.25901364,407.247557,,0.257278348
38864048.02,9804.5442,0.008593221,25.57129969,6871.623592,63.15871791,224.1870664,,0.052136098
46762310.88,14213.97359,0.008556122,24.69006649,5062.343074,33.69056714,224.7104785,,0.055493671
34325110.72,15236.20269,0.010895906,23.93897256,7709.113824,50.14465622,312.9303699,,0.124540271
54623104.26,11115.35045,0.010702103,25.26838509,7435.499741,79.420333,462.8201798,,0.331406482
41366007.92,17507.00284,0.011815267,21.21982401,4260.275222,41.43005563,399.3519955,,0.254206512
45752149.09,6515.327163,0.010222107,21.30400252,8479.669314,48.74812225,372.91701,,0.219793083
31301800.41,9155.852502,0.008141684,24.50699451,6703.102062,52.14187329,267.7426496,,0.07733339
57727096.79,18350.10262,0.009192911,24.83632696,8596.757207,52.93139773,420.4909632,,0.277461357
36475257.75,5848.917654,0.008992047,21.28003109,6755.728486,28.48126562,298.3066436,,0.120914247
50284725.45,19388.51988,0.008144105,23.1962442,4968.272883,46.39920931,386.3406167,,0.206049521
33291326.53,16419.6153,0.009587112,21.50372122,5492.526932,62.0842113,454.1238401,,0.327557567
51757895.38,6449.257513,0.009447283,28.99346203,5879.609476,25.07506495,318.4539969,,0.147087643
40260049.61,8391.78044,0.011372079,25.47432246,7200.230754,46.94829165,470.5897756,,0.446227568
42459740.24,5050.518289,0.011037713,24.30360148,7473.49181,23.72288438,320.6884051,,0.167359211
32258578.63,13054.78875,0.009563492,23.77340159,8148.579033,53.50638203,335.3415294,,0.152289726
57184081.36,5066.133727,0.011362458,20.13145544,5311.114873,76.84812976,429.7112939,,0.23595818
37698804.41,7239.293847,0.010134594,24.76985948,4531.547016,50.25259326,225.8810006,,0.056097984
47467537.09,11569.43443,0.008307854,29.98874302,4927.909346,75.46802531,453.4290848,,0.122112786
35464881.86,6430.957712,0.009601087,20.11606663,4848.160677,60.3216604,205.1639907,,0.043908672
53074668.44,13670.61526,0.009333734,24.45198144,6416.917095,25.5860891,234.2811023,,0.054625531
41908047.92,8246.256269,0.011113917,25.66485944,7775.612794,76.95919837,206.160208,,0.042968838
44837967.41,12483.42786,0.01197614,23.1739027,8630.815326,39.96478806,416.280447,,0.285182052
30409105.66,17259.13501,0.01091987,27.52036454,4998.273716,51.81798233,357.5850975,,0.18118507
59200932.13,9754.133218,0.011993582,27.81908407,5604.010492,50.55947903,204.1775682,,0.044574327
36020836.82,7371.099797,0.010375452,24.03236169,6375.693639,20.21971387,487.9299289,,0.534581952
48738069.98,10308.31533,0.009842518,27.0371157,8023.772593,61.72320397,230.0234008,,0.05307122
33607109.78,10405.52283,0.009412644,22.40551906,6336.714055,77.8382106,455.5966516,,0.315111262
51142473.38,16198.96653,0.009247132,28.73479808,5985.938461,52.78173792,305.4688395,,0.117194938
39568061.47,5458.105847,0.008682354,23.28299281,4804.093813,25.35370573,331.918252,,0.173466605
43816672.41,8162.68546,0.009579296,21.63370532,5355.176868,30.10954036,425.7913861,,0.349740213
31490755.63,13219.70187,0.010882671,20.59301693,6951.015024,71.74578147,337.4162633,,0.132707804
55250841.84,11541.51626,0.010616979,24.51112133,5472.465201,71.80701716,480.0979008,,0.298586139
38081978.97,9502.95318,0.011317963,21.58073445,4882.461825,47.57293707,200.8869959,,0.042106138
47034564.93,17679.85416,0.010266632,21.28323579,5485.757342,46.25698488,356.0499822,,0.171436538
34763103.27,9428.853341,0.011015801,22.69624047,8371.972534,52.06011126,390.1012065,,0.231666031
54081043.11,8898.8074,0.008169683,21.64263569,6975.795697,56.98209183,323.7612005,,0.122115751
40842618.37,5175.672305,0.011866092,20.88437154,8231.694495,28.85361504,434.4747863,,0.337101214
46131624.19,18634.95216,0.011224454,28.39455912,8785.087418,50.92193363,338.1133969,,0.164312765
30851264.51,7319.987224,0.01093107,21.70532927,8688.744817,65.77372873,399.1509094,,0.237622583
58449582.08,5349.605605,0.010409852,20.60146222,8591.358143,21.16751129,443.3784012,,0.35910245
36941986.79,11990.20642,0.008866769,28.49327226,8235.190968,66.00850715,326.3634994,,0.130725942
49577222.7,11581.2608,0.01168704,24.02253781,7547.016722,73.65187848,318.5280532,,0.11331317
33010329.57,11500.38842,0.011070031,29.34702208,4239.016424,57.53688626,395.2711044,,0.164515584
52425505.78,7642.287109,0.010974682,28.16702902,8457.113556,50.4536523,386.5605853,,0.222950745
40124500.25,8741.981826,0.009219142,25.75286143,6814.380064,53.82283767,421.1167944,,0.298877495
42967034.19,9601.03823,0.010091345,29.85577248,8211.172051,51.24506131,339.5058861,,0.155366818
32498212.82,15454.09805,0.010106519,23.42554101,5569.856634,26.26697814,360.9665394,,0.205453171
56700573.19,7078.171469,0.009857109,27.90709307,4067.673975,72.7730183,418.5483598,,0.103790504
37569744.19,6111.243129,0.009661887,23.01563096,7110.292657,25.00538584,476.7989955,,0.527562147
48017815.5,6195.946418,0.008433072,20.23917462,6387.912208,22.9989343,463.037931,,0.445905125
35006446.26,11086.44415,0.009726358,29.81718719,6474.183488,37.90795678,270.7518394,,0.089696293
53540749.73,15199.18986,0.009933923,20.99021606,6121.605524,31.58746556,420.6240008,,0.302808661
42229577.39,5322.778623,0.010671738,20.30186805,4352.696868,39.28919763,237.6128431,,0.059573419
44689693.25,16459.4325,0.011264135,22.26097505,8883.293836,47.08059364,229.9374773,,0.060481046
30160749.55,10485.91075,0.008768656,20.52470191,7872.116058,64.88383498,439.8546967,,0.33082538
59486855.09,7987.176363,0.010658166,25.34230597,8745.313441,69.27286579,203.4911818,,0.044617935
36300142.84,19518.82672,0.008115067,23.70291376,7773.299001,24.3484653,395.1217058,,0.264942908
49108627.96,15627.88041,0.008380644,21.35148675,4571.674232,24.52504312,271.226439,,0.093902452
34044570.83,18705.39893,0.009827531,23.32843124,5889.385464,68.84096024,344.2833647,,0.143772218
50698351.1,5613.557982,0.011484561,27.21628527,6123.753747,37.34866118,285.5340284,,0.094448202
39098200.14,11728.07803,0.009579989,27.4280123,6298.647066,64.78410988,249.0130414,,0.065812422
44078273.41,10121.05189,0.010730499,28.16940372,4980.595136,59.86233955,465.3895266,,0.28847622
31883627.74,7390.858752,0.008758289,20.38106129,4705.557417,71.10986581,448.1679696,,0.237622377
56040695.14,10562.71413,0.011459685,28.54940388,6885.22382,44.60455181,274.8942888,,0.08181601
38587262.28,9894.112716,0.008175683,21.43019222,4463.183548,72.19412963,270.2956249,,0.069107726
46495199.05,11937.67722,0.010251017,26.29654989,4683.772227,61.96404795,487.896578,,0.267937006
34500408.13,12801.00072,0.008169048,27.42060857,7292.09142,22.34025419,351.0432282,,0.178906834
54751381.02,11013.75057,0.010033597,21.75325084,4846.267922,56.34633933,442.6977032,,0.272839141
41209503.85,13901.01004,0.010530478,26.14491416,5213.996421,37.58504294,243.5612378,,0.064464601
45481624.24,17055.61327,0.010817055,24.97190421,4862.257765,32.68494593,393.6153871,,0.283244914
31136552.04,15029.27434,0.011830299,27.56032519,7370.049108,44.97422019,482.073308,,0.523565955
58037159.39,7904.470327,0.010756493,27.85721354,8017.900382,46.05603341,337.5293256,,0.160585043
36793997.01,16321.2824,0.009468836,28.79694257,5136.315336,29.48224185,300.1777134,,0.135216713
50064709.13,12020.86916,0.009451603,28.26775896,4056.78001,42.68505914,218.9867817,,0.05049617
33072714.85,5275.545621,0.00949894,24.70108015,6599.256714,79.81771014,479.3620469,,0.360763849
52022218.36,7684.335663,0.011736781,22.46495105,6292.05484,56.74330699,356.6343217,,0.164706721
40465654.32,7062.127519,0.009567812,23.32111661,7569.035981,78.96782228,207.4471803,,0.043362724
42791231.08,5096.656205,0.011697316,27.65883244,5042.956028,44.7186577,286.2937138,,0.104928884
32114706.28,17802.16875,0.008778217,28.86416404,8513.179063,57.17520507,495.6640786,,0.537016546
56884707.35,15430.01009,0.011707953,23.65169032,6702.572466,64.58490615,484.456984,,0.398373466
37894055.14,8434.489107,0.010330918,29.61921927,6112.434907,51.96208075,283.524689,,0.100134573
47662903.55,6771.166198,0.009525428,26.86496636,7175.66103,63.41251285,256.9514253,,0.066288123
35539448.86,8813.196234,0.011601976,29.91193618,8016.56768,37.50663114,381.4663363,,0.230240973
52882025.9,9575.37882,0.008708508,25.7308798,6697.905406,42.42821116,295.4979584,,0.101485474
41634549.14,5815.691257,0.011264293,26.8010096,7961.491496,74.31398221,482.3675049,,0.416814319
45064369.28,8288.216141,0.00950219,29.11524452,5144.608897,50.99679274,381.9280022,,0.193312025
30551946.64,11428.06179,0.009174211,26.43797249,4597.708377,22.44693745,233.1133205,,0.069152531
58774894.54,18024.81968,0.011945448,20.12447838,4399.510632,64.29146602,480.9730084,,0.285135259
35865377.81,5003.480391,0.010244576,23.44304917,6230.913905,24.76442036,200.031616,,0.042875508
48482578.7,14303.35735,0.009535863,25.43828054,7859.853026,59.08124947,476.7598915,,0.418566539
33787939.35,13407.07874,0.010180167,29.30763855,6884.191447,38.14157679,444.2385279,,0.424453478
51360410.08,8485.537698,0.011775241,28.12948114,6414.798069,45.4596453,474.1909938,,0.45781261
39486110.02,7198.265389,0.009610028,29.56117105,5815.565239,35.58725985,412.1219083,,0.348258418
43542688.49,5852.029089,0.009792203,20.89058343,5542.447494,34.90630265,262.2251245,,0.075827828
31633986.45,18744.52708,0.01074792,21.8823653,7057.571275,66.98100531,351.1290108,,0.154832524
55567179.38,9162.95802,0.008892969,27.94521463,7064.0026,22.90502499,439.8943779,,0.434970074
38448219.32,5306.393389,0.008587945,22.97806968,4012.836687,78.14336058,381.6065445,,0.09454326
46956589.83,9922.810759,0.010281529,29.21344653,4200.69107,38.42652997,323.6065724,,0.14325613
34542808.44,6579.204291,0.011353677,24.76931891,8145.805975,56.66667278,302.6012658,,0.108728507
54406300.67,6413.397973,0.008460712,20.82321936,6886.343182,52.213482,383.0031035,,0.2058377
40922032.14,10484.96753,0.010147198,21.87168098,7963.613704,36.09398203,291.2209119,,0.097867181
45939678.58,11382.48422,0.009042314,22.53433593,6762.138931,39.14054829,357.5609478,,0.183357884
30744269.47,14827.48624,0.011087104,20.73759383,8420.631765,57.9993898,251.7976987,,0.064226891
58106214.81,5632.730489,0.009480335,25.91005131,8197.027091,68.65793838,465.3050643,,0.362952101
37112374.09,13838.66316,0.011812498,22.54945801,8475.699009,23.55752977,282.1712113,,0.107182034
49762592.13,7763.592949,0.008934206,20.42136644,7860.18351,21.32621598,294.9608326,,0.11964325
32794953.84,13563.36113,0.011603796,21.72694472,4465.176935,76.78005351,468.2468183,,0.261176615
52124857.91,17378.08167,0.011798664,28.05620452,4114.515485,53.59818037,318.3438646,,0.112173944
39874440.57,9856.78453,0.010164107,20.44621554,7396.624033,41.37185761,370.3872075,,0.210810109
43222727.71,8500.762728,0.009021381,23.92202902,8578.567717,38.32494579,306.3548578,,0.120047856
32605623.12,16720.55094,0.008395914,23.13619603,4387.333429,54.02863926,374.2767528,,0.152555235
56302614.65,12245.06974,0.008432663,23.86191281,4841.143383,70.99061583,446.0607125,,0.189025508
37363417.24,7446.008085,0.009634145,22.25936616,5510.960766,46.5148536,272.9371656,,0.083004507
48287205.61,6990.210693,0.011487406,26.18024288,5400.320752,66.79801227,441.111411,,0.272134479
35239322.41,10524.73928,0.010671536,23.88554121,5315.689495,51.64798414,220.60819,,0.051611066
53632059.5,5195.224088,0.010686957,24.58650105,4559.008556,68.79591397,359.8526457,,0.134435997
42196969.15,6279.752165,0.010127087,27.68665441,4193.110276,20.03506547,315.2754842,,0.189218261
